id,policy_system,sub_policy_system,intervention,featured,confidence_level,help_text,,,
1,Criminal Justice,,Avoiding interactions with the criminal justice system,,,Effect on adolescent or young adult's future income by avoiding interactions with the criminal justice system,,,
6,Criminal Justice,,Benefiting from violence interruption strategies ,,,Effect on adolescent or young adult's future income by benefiting from violence interruption strategies ,,,
24,Criminal Justice,,Benefiting from decriminalization policies - impact through reduced criminal records,,,Effect on adolescent or young adult's future income by benefiting from decriminalization policies - impact through reduced criminal records,,,
25,Criminal Justice,,Benefiting from decriminalization policies  - impact through decreased incarceration rates,,,Effect on adolescent or young adult's future income by benefiting from decriminalization policies  - impact through decreased incarceration rates,,,
26,Criminal Justice,,Benefiting from the use of Drug Court ,,,Effect on adolescent or young adult's future income by benefiting from the use of Drug Court ,,,
11,Criminal Justice,,Benefiting from police de-escalation strategies (moderate),,,Effect on adolescent or young adult's future income by benefiting from police de-escalation strategies (moderate),,,
12,Criminal Justice,,Benefiting from police de-escalation strategies (significant),,,Effect on adolescent or young adult's future income by benefiting from police de-escalation strategies (significant),,,
32,Criminal Justice,,Increased access to high quality public defenders ,,,Effect on adolescent or young adult's future income by increased access to high quality public defenders ,,,
36,Criminal Justice,,Benefiting from record expungement ,,,Effect on adolescent or young adult's future income by benefiting from record expungement ,,,
30,Criminal Justice,,Benefiting from bail reform ,,,Effect on adolescent or young adult's future income by benefiting from bail reform ,,,
423,Other,,Having reliable and affordable access to physical and digital infrastructure (including transit and internet),,,Effect on a household's current budget as a result of having reliable and affordable access to physical and digital infrastructure (including transit and internet),,,
428,Other,,Living with a working adult partner (including cohabitation and marriage),,,Effect on a household's current budget as a result of living with a working adult partner (including cohabitation and marriage),,,
433,Other,,Having strong social and professional networks,,,Effect on child's future income as a result of having strong social and professional networks,,,
438,Other,,Not having to provide unpaid care for adult family members,,,Effect on a household's current budget as a result of not having to provide unpaid care for adult family members,,,
600,Combinations,Multiple Education Interventions ,K-12 funding reform + high-dosage tutoring,,FALSE,Effect of K-12 funding reform and high-dosage tutoring on a child's future income,,,
602,Combinations,Multiple Education Interventions ,Community schools + mentorship ,,FALSE,Effect of community schools and mentorship  on a child's future income,,,
604,Combinations,Multiple Education Interventions ,Teacher quality + science of reading,,FALSE,Effect of having a high quality teacher and the science of reading on a child's future income,,,
606,Combinations,Multiple Education Interventions ,Head Start + K-12 funding reform ,,FALSE,Effect of attending Head Start and benefiting from K-12 funding reform  on a child's future income,,,
608,Combinations,Multiple Education Interventions ,Head Start + attending an integrated school,,FALSE,Effect of attending Head Start and attending an integrated school on a child's future income,,,
610,Combinations,Multiple Education Interventions ,Model preschool + K-12 funding reform,,FALSE,Effect of attending a model preschool and K-12 funding reform on a child's future income,,,
612,Combinations,Multiple Education Interventions ,Model preschool + high quality charter school,,FALSE,Effects of attending a model preschool and high quality charter school on a child's future income,Model preschool and high quality charter school on a child's future income,Effects of model preschool and high quality charter school on a child's future income,model preschool and high quality charter school on a child's future income
614,Combinations,Multiple Education Interventions ,Head start + college advising supports,,FALSE,Effects of Head Start and college advising supports on a child's future income,Head start and college advising supports on a child's future income,Effects of head start and college advising supports on a child's future income,head start and college advising supports on a child's future income
616,Combinations,Multiple Education Interventions ,Head start + college quality ,,FALSE,Effects of Head Start and college quality on a child's future income,Head start and college quality  on a child's future income,Effects of head start and college quality  on a child's future income,head start and college quality  on a child's future income
618,Combinations,Multiple Education Interventions ,Head start + community college quality,,FALSE,Effects of Head Start and community college quality on a child's future income,Head start and community college quality on a child's future income,Effects of head start and community college quality on a child's future income,head start and community college quality on a child's future income
620,Combinations,Multiple Education Interventions ,High-dosage tutoring + college advising supports ,,FALSE,Effects of high-dosage tutoring and college advising supports  on a child's future income,High-dosage tutoring and college advising supports  on a child's future income,Effects of high-dosage tutoring and college advising supports  on a child's future income,high-dosage tutoring and college advising supports  on a child's future income
622,Combinations,Multiple Education Interventions ,Model preschool + K-12 funding reform + college persistence supports ,,FALSE,"Effects of attending a model preschool, benefiting from K-12 funding reform and receiving college persistence supports  on a child's future income","Model preschool, K-12 funding reform and college persistence supports  on a child's future income","Effects of model preschool, K-12 funding reform and college persistence supports  on a child's future income","model preschool, K-12 funding reform and college persistence supports  on a child's future income"
624,Combinations,Multiple Education Interventions ,Head Start + teacher quality + college matching supports ,,FALSE,"Effects of Head Start, teacher quality and college matching supports  on a child's future income",Head Start and teacher quality and college matching supports  on a child's future income,Effects of head Start and teacher quality and college matching supports  on a child's future income,head Start and teacher quality and college matching supports  on a child's future income
626,Combinations,Multiple Education Interventions ,Teacher quality + career and technical ed,,FALSE,Effects of teacher quality and career and technical ed on a child's future income,Teacher quality and career and technical ed on a child's future income,Effects of teacher quality and career and technical ed on a child's future income,teacher quality and career and technical ed on a child's future income
628,Combinations,Multiple Education Interventions ,Head Start + career and technical ed,,FALSE,Effects of Head Start and career and technical ed on a child's future income,Head Start and career and technical ed on a child's future income,Effects of head Start and career and technical ed on a child's future income,head Start and career and technical ed on a child's future income
632,Combinations,Mix of Education and Non-Education Interventions in Childhood,K-12 funding reform + expanded Earned Income Tax Credit (child),,FALSE,Effects of K-12 funding reform and expanded Earned Income Tax Credit (child) on a child's future income,K-12 funding reform and expanded Earned Income Tax Credit (child) on a child's future income,Effects of k-12 funding reform and expanded Earned Income Tax Credit (child) on a child's future income,k-12 funding reform and expanded Earned Income Tax Credit (child) on a child's future income
634,Combinations,Mix of Education and Non-Education Interventions in Childhood,K-12 funding reform + increased access to public benefits (child),,FALSE,Effects of K-12 funding reform and increased access to public benefits (child) on a child's future income,K-12 funding reform and increased access to public benefits (child) on a child's future income,Effects of k-12 funding reform and increased access to public benefits (child) on a child's future income,k-12 funding reform and increased access to public benefits (child) on a child's future income
636,Combinations,Mix of Education and Non-Education Interventions in Childhood,Affordable housing (child) + teacher quality,,FALSE,Effects of having access to affordable housing and a high quality teacher on a child's future income,Having access to affordable housing and a high quality teacher on a child's future income,Effects of having access to affordable housing and a high quality teacher on a child's future income,having access to affordable housing and a high quality teacher on a child's future income
638,Combinations,Mix of Education and Non-Education Interventions in Childhood,Affordable housing (child) + Medicaid (child) + K-12 funding reform ,,FALSE,"Effects of having access to affordable housing (child), Medicaid (child) and K-12 funding reform  on a child's future income","Having access to  affordable housing (child), Medicaid (child) and K-12 funding reform  on a child's future income","Effects of having access to  affordable housing (child), Medicaid (child) and K-12 funding reform  on a child's future income","having access to  affordable housing (child), Medicaid (child) and K-12 funding reform  on a child's future income"
640,Combinations,Mix of Education and Non-Education Interventions in Childhood,Home visiting + Medicaid (child),50%,FALSE,Effects of having access to home visiting and Medicaid (child) on a child's future income,Having access to  home visiting and Medicaid (child) on a child's future income,Effects of having access to  home visiting and Medicaid (child) on a child's future income,having access to  home visiting and Medicaid (child) on a child's future income
642,Combinations,Mix of Education and Non-Education Interventions in Childhood,Model preschool + increased Supplemental Nutrition Assistance benefits (child),,FALSE,Effects of having access to model preschool and increased Supplemental Nutrition Assistance benefits (child) on a child's future income,Having access to  model preschool and increased Supplemental Nutrition Assistance benefits (child) on a child's future income,Effects of having access to  model preschool and increased Supplemental Nutrition Assistance benefits (child) on a child's future income,having access to  model preschool and increased Supplemental Nutrition Assistance benefits (child) on a child's future income
644,Combinations,Mix of Education and Non-Education Interventions in Childhood,Affordable housing (child) + model preschool + K-12 funding reform,,FALSE,Effects of having access to affordable housing (child) and model preschool and K-12 funding reform on a child's future income,Having access to  affordable housing (child) and model preschool and K-12 funding reform on a child's future income,Effects of having access to  affordable housing (child) and model preschool and K-12 funding reform on a child's future income,having access to  affordable housing (child) and model preschool and K-12 funding reform on a child's future income
646,Combinations,Mix of Education and Non-Education Interventions in Childhood,Head start + affordable housing (child) + increased Earned Income Tax Credit (child) + K-12 funding reform ,,FALSE,Effects of having access to Head start and affordable housing (child) and increased Earned Income Tax Credit (child) and K-12 funding reform  on a child's future income,Having access to  Head start and affordable housing (child) and increased Earned Income Tax Credit (child) and K-12 funding reform  on a child's future income,Effects of having access to  Head start and affordable housing (child) and increased Earned Income Tax Credit (child) and K-12 funding reform  on a child's future income,having access to  Head start and affordable housing (child) and increased Earned Income Tax Credit (child) and K-12 funding reform  on a child's future income
650,Combinations,Mix of Education and Non-Education Interventions in Childhood,Head Start + moving to a neighborhood with a lower poverty rate (moderate move),,FALSE,Effects of having access to Head Start and moving to a neighborhood with a lower poverty rate (moderate move) on a child's future income,Having access to  Head Start and moving to a neighborhood with a lower poverty rate (moderate move) on a child's future income,Effects of having access to  Head Start and moving to a neighborhood with a lower poverty rate (moderate move) on a child's future income,having access to  Head Start and moving to a neighborhood with a lower poverty rate (moderate move) on a child's future income
651,Combinations,Mix of Education and Non-Education Interventions in Childhood,Head Start + moving to a neighborhood with a lower poverty rate (significant move),,TRUE,Effects of having access to Head Start and moving to a neighborhood with a lower poverty rate (significant move) on a child's future income,Having access to  Head Start and moving to a neighborhood with a lower poverty rate (significant move) on a child's future income,Effects of having access to  Head Start and moving to a neighborhood with a lower poverty rate (significant move) on a child's future income,having access to  Head Start and moving to a neighborhood with a lower poverty rate (significant move) on a child's future income
652,Combinations,Mix of Education and Non-Education Interventions in Childhood,School integration + community investment (moderate),,FALSE,Effects of having access to school integration and community investment (moderate) on a child's future income,Having access to  school integration and community investment (moderate) on a child's future income,Effects of having access to  school integration and community investment (moderate) on a child's future income,having access to  school integration and community investment (moderate) on a child's future income
653,Combinations,Mix of Education and Non-Education Interventions in Childhood,School integration + community investment (significant),,TRUE,Effects of having access to school integration and community investment (significant) on a child's future income,Having access to  school integration and community investment (significant) on a child's future income,Effects of having access to  school integration and community investment (significant) on a child's future income,having access to  school integration and community investment (significant) on a child's future income
654,Combinations,Mix of Education and Non-Education Interventions in Childhood,Moving to a neighborhood with a lower poverty rate (modest) + K-12 funding reform,,FALSE,Effects of moving to a neighborhood with a lower poverty rate (modest) and K-12 funding reform on a child's future income,Moving to a neighborhood with a lower poverty rate (modest) and K-12 funding reform on a child's future income,Effects of moving to a neighborhood with a lower poverty rate (modest) and K-12 funding reform on a child's future income,moving to a neighborhood with a lower poverty rate (modest) and K-12 funding reform on a child's future income
655,Combinations,Mix of Education and Non-Education Interventions in Childhood,Moving to a neighborhood with a lower poverty rate (significant) + K-12 funding reform,,TRUE,Effects of moving to a neighborhood with a lower poverty rate (significant) and K-12 funding reform on a child's future income,Moving to a neighborhood with a lower poverty rate (significant) and K-12 funding reform on a child's future income,Effects of moving to a neighborhood with a lower poverty rate (significant) and K-12 funding reform on a child's future income,moving to a neighborhood with a lower poverty rate (significant) and K-12 funding reform on a child's future income
656,Combinations,Mix of Education and Non-Education Interventions in Childhood,Community investment (moderate) + teacher quality ,,FALSE,Effects of having access to community investment (moderate) and a high quality teacher on a child's future income,Having access to  community investment (moderate) and a high quality teacher on a child's future income,Effects of having access to  community investment (moderate) and a high quality teacher on a child's future income,having access to  community investment (moderate) and a high quality teacher on a child's future income
657,Combinations,Mix of Education and Non-Education Interventions in Childhood,Community investment (significant) + teacher quality ,,TRUE,Effects of having access to community investment (significant) and high quality teacher  on a child's future income,Having access to  community investment (significant) and high quality teacher  on a child's future income,Effects of having access to  community investment (significant) and high quality teacher  on a child's future income,having access to  community investment (significant) and high quality teacher  on a child's future income
658,Combinations,Mix of Education and Non-Education Interventions in Childhood,Model preschool + community investment (moderate),,FALSE,Effects of having access to a model preschool and community investment (moderate) on a child's future income,Having access to  a model preschool and community investment (moderate) on a child's future income,Effects of having access to  a model preschool and community investment (moderate) on a child's future income,having access to  a model preschool and community investment (moderate) on a child's future income
659,Combinations,Mix of Education and Non-Education Interventions in Childhood,Model preschool + community investment (significant),,TRUE,Effects of having access to a model preschool and community investment (significant) on a child's future income,Having access to  a model preschool and community investment (significant) on a child's future income,Effects of having access to  a model preschool and community investment (significant) on a child's future income,having access to  a model preschool and community investment (significant) on a child's future income
662,Combinations,Mix of Education and Non-Education Interventions in Childhood,K-12 funding reform + decriminalization policies,,FALSE,Effects of having access to K-12 funding reform and decriminalization policies on a child's future income,Having access to  K-12 funding reform and decriminalization policies on a child's future income,Effects of having access to  K-12 funding reform and decriminalization policies on a child's future income,having access to  K-12 funding reform and decriminalization policies on a child's future income
664,Combinations,Mix of Education and Non-Education Interventions in Childhood,Mentoring + violence interruption strategies ,,FALSE,Effects of having access to mentoring and violence interruption strategies  on a child's future income,Having access to  mentoring and violence interruption strategies  on a child's future income,Effects of having access to  mentoring and violence interruption strategies  on a child's future income,having access to  mentoring and violence interruption strategies  on a child's future income
668,Combinations,Childhood + Adult Interventions ,Teacher quality + union representation ,50%,FALSE,Effects of having a high quality teacher as a child and being represented by a union as an adult,Having a high quality teacher as a child and being represented by a union as an adult,Effects of having a high quality teacher as a child and being represented by a union as an adult,having a high quality teacher as a child and being represented by a union as an adult
670,Combinations,Childhood + Adult Interventions ,K-12 funding reform + competition policy to reduce firm power to set wages,,FALSE,Effects of having access to  K-12 funding reform as a child and competition policy to reduce firm power to set wages as an adult,Having access to  K-12 funding reform as a child and competition policy to reduce firm power to set wages as an adult,Effects of having access to  K-12 funding reform as a child and competition policy to reduce firm power to set wages as an adult,having access to  K-12 funding reform as a child and competition policy to reduce firm power to set wages as an adult
674,Combinations,Childhood + Adult Interventions ,High quality charter + increased Earned Income Tax Credit (adult) ,,FALSE,Effects of attending a high quality charter as a child and having access to increased Earned Income Tax Credit as an adult,Attending a high quality charter as a child and having access to increased Earned Income Tax Credit as an adult,Effects of attending a high quality charter as a child and having access to increased Earned Income Tax Credit as an adult,attending a high quality charter as a child and having access to increased Earned Income Tax Credit as an adult
676,Combinations,Childhood + Adult Interventions ,K-12 funding reform + increased Earned Income Tax Credit (adult),,FALSE,Effects of having access to  K-12 funding reform as a child and increased Earned Income Tax Credit as an adult,Having access to  K-12 funding reform as a child and increased Earned Income Tax Credit as an adult,Effects of having access to  K-12 funding reform as a child and increased Earned Income Tax Credit as an adult,having access to  K-12 funding reform as a child and increased Earned Income Tax Credit as an adult
680,Combinations,Childhood + Adult Interventions ,Head Start + affordable housing (adult),,FALSE,Effects of attending Head Start as a child and accessing affordable housing as an adult,Attending Head Start as a child and accessing affordable housing as an adult,Effects of attending Head Start as a child and accessing affordable housing as an adult,attending Head Start as a child and accessing affordable housing as an adult
684,Combinations,Multiple Non-Education Interventions in Childhood ,Increased Earned Income Tax Credit (child) + affordable housing (child),,FALSE,Effects of having access to Increased Earned Income Tax Credit and affordable housing on a child's future income,Having access to  Increased Earned Income Tax Credit and affordable housing on a child's future income,Effects of having access to  Increased Earned Income Tax Credit and affordable housing on a child's future income,having access to  Increased Earned Income Tax Credit and affordable housing on a child's future income
686,Combinations,Multiple Non-Education Interventions in Childhood ,Accessing increased public benefits (child) + affordable housing (child),,FALSE,Effects of having access to  increased public benefits and affordable housing on a child's future income,Having access to  increased public benefits and affordable housing on a child's future income,Effects of having access to  increased public benefits and affordable housing on a child's future income,having access to  increased public benefits and affordable housing on a child's future income
